Ano,AreaCosechada,Produccion,Rendimiento
1961,25567759,14294248,
1962,24071371,16707100,
1963,23764512,18493747,
1964,25391511,20859709,
1965,24696127,25243492,
1966,23908507,25308507,
1967,25285891,28508872,
1968,24640724,27472126,
1969,25141668,27294958,
1970,25435011,29188672,
1971,25615036,32577354,
1972,26276672,35986554,
1973,26412386,35225929,
1974,27034304,40865746,
1975,27634276,45313042,
1976,28380502,50386232,
1977,28037566,41076295,
1978,29184159,53842395,
1979,29320977,62732521,
1980,29191137,55212839,
1981,28279019,59642710,
1982,27928016,68472314,
1983,29051110,81391570,
1984,29577481,87817368,
1985,29219053,85807133,
1986,29617134,90043693,
1987,28799224,85904702,
1988,28785660,85432957,
1989,29842187,90810047,
1990,30754285,98231940,
1991,30949062,95953581,31004
1992,30497210,101591334,33312
1993,30236410,106394921,35188
1994,28981966,99301440,34263
1995,28861315,102211429,35415
1996,29611057,110569193,37341
1997,30057020,123290085,41019
1998,29775167,109726066,36852
1999,28855019,113880088,39466
2000,26653326,99636127,37382
2001,24664068,93873234,38061
2002,23908072,90290262,37766
2003,21997075,86488264,39318
2004,21626074,91952238,42519
2005,22792462,97445196,42753
2006,23613067,108466271,45935
2007,23721070,109298296,46076
2008,23617266,112464292,47620
2009,24291081,115115364,47390
2010,24257900,115186178,47484
2011,24272245,117414034,48374
2012,24270311,121030059,49868
2013,24119335,121930527,50553
2014,24071629,126215211,52433
2015,24599116,132646335,53923
2016,24698345,133274638,53961
2017,24480542,134246679,54838
2018,24268721,131446596,54163
2019,23732560,133601131,56294
