"NCM","Descripcion","Anio","Exportaciones","Vol_Exp","Volumen_Exportaciones","Volumen_Importaciones","exp_pct"
"01","Animales vivos",2019,550465702.78,17115028.47,217564079.13,405396.9,0.00205100903676558
"02","Carne y despojos comestibles",2019,21598428011.68,59104536.69,8082178848.87,17875899.42,0.0804747158781498
"03","Pescados y crustáceos, moluscos y demás invertebrados acuáticos",2019,2069769071.74,1185164442.1,507020066.04,297073838.18,0.00771186115450549
"04","Leche y productos lácteos; huevos de ave; miel natural; otros.",2019,1303847489.65,115973090.96,460617530.84,16255301.75,0.00485807375524183
"05","Los demás productos de origen animal",2019,765752261.44,271240102.66,318338359.78,22504330.07,0.00285315651857208
"06","Plantas vivas y productos de la floricultura",2019,11027393,52819938.01,4176664.06,7349306.22,4.10875420225859e-05
"07","Hortalizas, plantas, raíces y tubérculos alimenticios",2019,500960928.39,302597168.31,641712632.82,290877520.22,0.00186655660108402
"08","Frutas; cortezas de agrios (cítricos), melones o sandías",2019,1609328015.23,653120907.6,1614110837.61,707999530.27,0.00599627966953634
"09","Café, té, yerba mate y especias",2019,4932393359.99,162045099.92,2431724329.31,29701255.04,0.0183778631495688
"10","Cereales",2019,15707118403.27,195811730.15,88796135317.02,719617008.37,0.0585239763784684
"11","Productos de la molinería; malta; almidón; otros,",2019,371763071.2,206485733.6,899319077.07,336599599.23,0.00138517152788293
"12","Semillas y frutos oleaginosos;  paja y forrajes; otros",2019,31854389085.7,500055618.679999,89171604953.01,749850510.219999,0.118687939222126
"13","Gomas, resinas y demás jugos y extractos vegetales",2019,146603504.01,187423528.56,56367749.7,22232726.56,0.000546237685704065
"14","Materias trenzables y demás productos de origen vegetal",2019,12997650,8116897.31,25547535,3790842.19,4.84286259290716e-05
"15","Grasas y aceites animales o vegetales; otros.",2019,5354920754.4,811522148.019999,8056057170.42,538341025.59,0.0199521801321516
"16","Preparaciones de carne, pescado o crustáceos, otros.",2019,1171518248.5,161325274.35,353044871.3,48740328.43,0.00436502129428687
"17","Azúcares y artículos de confitería",2019,5451675399.2,102336680.88,18245041524.28,67868491.4800001,0.0203126833384942
"18","Cacao y sus preparaciones",2019,185691063.08,324832976.83,46049434.58,119450776.27,0.000691876072387929
"19","Preparaciones a base de cereales, harina, almidón, otros.",2019,255027295.75,203167462.05,168794103.49,75631762.6800001,0.000950219578737654
"20","Preparaciones de hortalizas, de frutas u otros frutos, otros.",2019,2869179757.92,396044678.44,2892474033.01,381297279.6,0.0106904273633751
"21","Preparaciones alimenticias diversas",2019,1086091289.33,472363929.72,247432463.97,100589796.91,0.00404672450602883
"22","Bebidas, líquidos alcohólicos y vinagre",2019,1820274775.54,1343170366.26,1934279349.75,1459480770.4,0.00678225726902567
"23","Residuos y desperdicios de las industrias alimentarias; otros.",2019,14660679028.59,316695819.5,45490552529.37,151646006.3,0.0546249930211823
"24","Tabaco y sucedáneos del tabaco elaborados",2019,2221865082.84,111304196.67,563253371.94,19022136.96,0.00827856366048664
"25","Sal; azufre; tierras y piedras; yesos, cales y cementos",2019,595130700.34,755614237.720001,4361562568.22,8986370749.75,0.00221742869408488
"26","Minerales metalíferos, escorias y cenizas",2019,25500343880.81,1251624229.24,358833044861.15,1779678490.23,0.0950130688906409
"27","Combustibles minerales, aceites minerales; ceras minerales, otros.",2019,31326901030.96,29409296477.72,75840603361.24,78309781114.08,0.116722543809489
"28","Productos químicos inorgánicos; otros.",2019,3824786619.18,2489516448.86001,8255967135.35,7618701132.27005,0.0142509730942737
"29","Productos químicos orgánicos",2019,2220046401.31,13319949148.78,2119037328.8,5010345192.71048,0.00827178733957474
"30","Productos farmacéuticos",2019,1508046447.16,9497745061.32,53174741.6399999,62097963.0399999,0.00561890936232144
"31","Abonos",2019,19206753.25,10498136201.93,25343998.61,35788877050.74,7.15634494278759e-05
"32","Extractos curtientes o tintóreos; taninos y sus derivados; otros.",2019,277468328.41,1511430022.31,127774712.09,389996350.129999,0.00103383379947396
"33","Aceites esenciales y resinoides; preparaciones de perfumería, otros.",2019,1008862003.87,1102074949.74,154541959.81,111490583.44,0.00375897186025734
"34","Jabones, agentes de superficie orgánicos, otros",2019,192199006.07,724876765.4,110791975.47,294478002.259999,0.000716124358549692
"35","Materias albuminoideas; productos a base de almidón o de fécula modificados; otros.",2019,543068414.02,535231607.710001,109967986.63,114014133.71,0.00202344709054858
"36","Pólvora y explosivos; artículos de pirotecnia; otros.",2019,48278094,44678848.29,4314826,5712214.6,0.000179881882870716
"37","Productos fotográficos o cinematográficos",2019,18403066.22,154921139.46,2810703.92,18927073.59,6.8568949765251e-05
"38","Productos diversos de las industrias químicas",2019,1662164344.71,6587430379.37,1534562455.9,1304891971.23,0.00619314532108505
"39","Plástico y sus manufacturas",2019,2495553525.74,8336578903.2,1672659386.26,3813104454.54005,0.00929831378626432
"40","Caucho y sus manufacturas",2019,1322219812.69,3698370368.70002,318756877.02,1157934342.23999,0.00492652815738008
"41","Pieles (excepto la peletería) y cueros",2019,1805169818.82,50598180.83,672469645.43,17753077.58,0.0067259769184494
"42","Manufacturas de cuero; artículos de talabartería o guarnicionería; otros.",2019,79526861.86,606965401.19,2894288.89,118244376.96,0.000296313306200036
"43","Peletería y confecciones de peletería; peletería facticia o artifical",2019,52374199.86,1754854.2,2145627.8,136695.02,0.00019514377855646
"44","Madera, carbón vegetal y manufacturas de madera",2019,4005966958.26,166808094.33,17951567601.68,117533063.09,0.0149260424234992
"45","Corcho y sus manufacturas",2019,248112,41245317.36,21054.7,3359901.15,9.24453515559645e-07
"46","Manufacturas de espartería o cestería",2019,510081,9331012.91999999,41690.08,1924112.89,1.90053755429072e-06
"47","Pasta de madera o de las demás materias fibrosas celulósicas; otros.",2019,7408575768,154122807.59,15181797954,260234934.94,0.0276040010721674
"48","Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón",2019,1664598526.57,1194133826.89,1806659336.36,950095824.639996,0.00620221496696267
"49","Productos editoriales, de la prensa y de las demás industrias gráficas; otros.",2019,73867048.45,287732800.99,10884634.67,28334045.15,0.000275225110529185
"50","Seda",2019,28835808,7163981.04,559077.34,70895.8,0.000107440849614702
"51","Lana y pelo fino u ordinario; hilados y tejidos de crin",2019,356601711.14,38567831.29,45487293.77,9089697.62,0.00132868102114351
"52","Algodón",2019,2840877548.04,153460037.94,1716515110.22,40956633.16,0.0105849746749857
"53","Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel",2019,54087195,33145919.87,41047918,16652499.91,0.000201526317004055
"54","Filamentos sintéticos o artificiales",2019,54023106.38,1472748212.67,9936054.5,625696582.68,0.000201287525853017
"55","Fibras sintéticas o artificiales discontinuas",2019,19431892,1074301266.66,4355304.3,455020258.31,7.24023057061946e-05
"56","Guata, fieltro y tela sin tejer; hilados especiales; otros.",2019,103558633.87,285282680.43,36572853.44,73531164.8500001,0.000385854546123024
"57","Alfombras y demás revestimientos para el suelo, de materia textil",2019,5315280.73,92723898.2000001,807409.59,29901738.74,1.9804483285915e-05
"58","Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; otros.",2019,25363795.71,106154231.19,4274237.68,16589839.38,9.4504296898361e-05
"59","Telas impregnadas, recubiertas, revestidas o estratificadas; otros.",2019,51856105.98,338997200.19,2720218.29,72094741.2999999,0.00019321338539226
"60","Tejidos de punto",2019,22301427,526651504.999999,2133581.5,145982982.62,8.30940566846698e-05
"61","Prendas y complementos (accesorios), de vestir, de punto",2019,48452234.37,1134472105.98,955146.3,82827194.3499998,0.000180530721609863
"62","Prendas y complementos (accesorios), de vestir, excepto los de punto",2019,33289553.42,1084672603.88,663954.68,62485335.3999999,0.000124035293297098
"63","Los demás artículos textiles confeccionados; juegos; prendería y trapos",2019,26774846.13,259324252.56,3530172.81,61525817.11,9.97618036751429e-05
"64","Calzados, polainas y artículos análogos; partes de estos artículos",2019,915864387.64,781028278.370003,47099230.55,42496569.9,0.00341246716373928
"65","Sombreros, demás tocados, y sus partes",2019,3332436.91,99799228.9899999,199471.31,9439122.74,1.24165014865473e-05
"66","Paraguas, sombrillas, quitasoles, bastones, otros.",2019,80732,43632595.6,9376.99,25050896.02,3.008035936116e-07
"67","Plumas y plumón preparados y artículos de plumas o plumón; otros.",2019,1895043,47364886.35,3461,11008229.69,7.06084011852186e-06
"68","Manufacturas de piedra, yeso fraguable, cemento, amianto, otros",2019,1025317760.93,549809856.29,1315633249.64,248500212.710001,0.0038202852286769
"69","Productos cerámicos",2019,364591275.6,366287802.14,1207883629.17,319246845,0.00135844975845906
"70","Vidrio y sus manufacturas",2019,137966798.3,681816508.839999,119764018.93,541791966.230001,0.000514057730859223
"71","Perlas finas (naturales) o cultivadas, piedras preciosas, otros.",2019,6453537201.74,909395024.79,44348879.35,10258968.99,0.0240455727814193
"72","Fundición, hierro y acero",2019,10698878419.45,2604451343.76,16193153489.02,2696896162.19,0.0398635123146231
"73","Manufacturas de fundición, de hierro o acero",2019,1667575724.91,3477107178.45001,1007990534.6,1065702391.48998,0.00621330786642716
"74","Cobre y sus manufacturas",2019,800260794.87,1531632503.73,164330828.86,238231809.32,0.00298173367343026
"75","Níquel y sus manufacturas",2019,50239432,231589059.42,2096239,9889636.00999999,0.000187189735007254
"76","Aluminio y sus manufacturas",2019,1072360615.89,1985783106.64,452556034.84,740567527.67,0.00399556466961379
"78","Plomo y sus manufacturas",2019,31892732.48,83992981.19,18579399.31,39241407.97,0.000118830804886258
"79","Cinc y sus manufacturas",2019,154477109.49,138813905.96,62150258.98,48147414.7,0.000575574365373391
"80","Estaño y sus manufacturas",2019,165428646,7790392.74,8952342,450040.3,0.00061637926972082
"81","Los demás metales comunes; cermets; manufacturas de estas materias",2019,155589347,229435790.07,5210249,40355581.87,0.000579718509454519
"82","Herramientas y útiles, artículos de cuchillería, otros, de metal común.",2019,315632088.15,921691463.890002,26083729.21,101977022.64,0.00117603015377611
"83","Manufacturas diversas de metal común",2019,119802919.35,1251891245.10999,15824520.43,220691897.530001,0.000446379981489876
"84","Reactores nucleares, calderas, máquinas, otros.",2019,11451880921.83,33639270993.8702,1110650389.97,2274371891.54993,0.0426691638371226
"85","Máquinas, aparatos y material eléctrico, y sus partes; otros",2019,2949960937,31721583770.7502,291875434.180001,1680216452.39992,0.0109914141959005
"86","Vehículos y material para vías férreas o similares, y sus partes; otros.",2019,82657204.8,258159725.4,22191170.57,70613708.11,0.000307976815162884
"87","Vehículos automóviles, tractores, otros, sus partes y accesorios",2019,6807205228.48,13030405147.01,791298417.76,1600715443.87,0.0253633230339699
"88","Aeronaves, vehículos espaciales, y sus partes",2019,3777109584,2137747470.15,3524476.95,4017074.1,0.0140733307279891
"89","Barcos y demás artefactos flotantes",2019,37926731.49,4046648869.54,1204819.13,501091075.23,0.000141313198312122
"90","Instrumentos y aparatos de óptica, fotografía o cinematografía, otros.",2019,1024495250.12,7462677130.59998,11625609.93,125779267.17,0.00381722059250497
"91","Aparatos de relojería y sus partes",2019,6877713.51,250159844.97,41744.63,7074385.81999998,2.56260335386099e-05
"92","Instrumentos musicales; sus partes y accesorios",2019,5095777.76,92517962.3200001,96746.81,6610036.30999999,1.89866256559242e-05
"93","Armas, municiones, y sus partes y accesorios",2019,365217286,67697869.18,12408806,2620218.71,0.00136078224344591
"94","Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; otros.",2019,668372044.17,1564413855.05,303958251.48,315358449.499999,0.00249032245894895
"95","Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios",2019,17806062.84,1090192493.77,2134431.1,176531755.75,6.63445435557892e-05
"96","Manufacturas diversas",2019,139437820.21,506868308.630001,19050164.1,88221149.3499995,0.000519538688556411
"97","Objetos de arte o colección y antigüedades",2019,879462420.79,29655359.98,281123.51,139787.85,0.00327683516598114
"99","Sin descripción ",2019,8203471026.12001,583104211.429999,15510190238.34,106786.18,0.0305657430107707
