Importancia,Año,País,FOB[USD],Toneladas
Numero 1 ,2000,Nigeria,3965290,12467
Numero 2 ,2000,Egypt,3371761,22288
Numero 3 ,2000,Kenya,1050718,6545
Numero 4 ,2000,Russian Federation,358330,3975
Numero 5 ,2000,Mongolia,188070,2661
Numero 6 ,2000,Switzerland,179277,1020
Numero 7 ,2000,Bangladesh,129164,960
Numero 8 ,2000,"China, Macao SAR",7652,0
Numero 9 ,2000,Rep. of Korea,4264,7
Numero 10,2000,Thailand,4182,22
Numero 1 ,2009,Sri Lanka,5568028,21276
Numero 2 ,2009,Philippines,1485340,8470
Numero 3 ,2009,Bangladesh,1230479,3642
Numero 4 ,2009,Nigeria,797200,263
Numero 5 ,2009,Mozambique,379554,936
Numero 6 ,2009,Malaysia,253170,308
Numero 7 ,2009,Rep. of Korea,117000,300
Numero 8 ,2009,Ireland,112517,27
Numero 9 ,2009,Indonesia,105345,20
Numero 10,2009,Ethiopia,58534,52
Numero 1 ,2019,Ethiopia,6648241,7408
Numero 2 ,2019,Chile,421324,0
Numero 3 ,2019,Rep. of Korea,136131,508
Numero 4 ,2019,Uzbekistan,126000,700
Numero 5 ,2019,France,89593,32
Numero 6 ,2019,Viet Nam,78705,76
Numero 7 ,2019,Sweden,52758,13
Numero 8 ,2019,Germany,43638,26
Numero 9 ,2019,Spain,33318,10
Numero 10,2019,Norway,16588,26
