Anios;ArgExp;BraExp;ParExp;UrugExp
2000;17941549192,00;47265283295,00;317801167,00;1277053254,00
2001;19127895540,00;51678382202,00;471470060,00;1218154467,00
2002;19927251938,00;56840919946,00;397856570,00;1254219743,00
2003;24294168986,00;67106263407,00;532843761,00;1533806473,00
2004;27783951427,00;86213037947,00;725752601,00;2171454654,00
2005;32697683012,17;106806591641,00;762835613,00;2637948879,00
2006;36607737681,49;123602152436,00;1023777347,00;3044057764,00
2007;43530028800,73;142470776883,00;1700591086,00;3261456248,00
2008;53895905367,78;174034838749,00;2757765274,00;4336877856,00
2009;41839058930,82;135966712078,00;2222443850,00;3868596229,00
2010;51046494858,05;177848300961,00;3698635684,00;4556032425,00
2011;62312312356,86;225823027162,00;4500257130,00;5499227289,00
2012;60289361833,34;217164155198,00;3752121398,00;6370400212,00
2013;56962478755,86;207863762450,00;5733642682,00;6710342588,00
2014;51743373317,08;200507178773,00;5844307492,00;6948397260,00
2015;44398152944,79;168789033356,00;4982692529,00;6041115332,00
2016;46718576611,54;161144118721,00;4470880652,00;5245490063,00
2017;46935250598,26;192374941363,00;4555737971,00;6030769955,00
2018;47988665854,30;211055698655,00;3911938156,00;5817222076,00
2019;52511017167,39;206370732980,00;3385489826,00;6120511086,00
2020;44960833140,25;196770602663,00;3264203254,00;5396375054,00
2021;63540481502,88;263822760550,00;4257514145,00;7191420228,00
2022;72941966782,59;312550563974,00;4166391563,95;8458729889,00
2023;35696867875,90;207430217791,00;2572349265,75;4431557123,00
