Anios;ArgExpVar;BraExpVar;ParExpVar;UrugExpVar
2000;0;0;0;0
2001;0,066122849;0,093368718;0,48353785;-0,046120854
2002;0,041790086;0,099897433;-0,156136086;0,029606488
2003;0,219142964;0,180597771;0,339286067;0,222916863
2004;0,143646916;0,284724161;0,362036406;0,415729228
2005;0,176855031;0,238868206;0,051095941;0,214830286
2006;0,11958201;0,1572521;0,342068107;0,153948732
2007;0,18909366;0,152656115;0,661094662;0,071417332
2008;0,238131627;0,221547622;0,621651023;0,329736635
2009;-0,223706168;-0,218738541;-0,194114209;-0,10797667
2010;0,22006795;0,308028254;0,664220081;0,177696548
2011;0,220697181;0,269750827;0,216734362;0,207021104
2012;-0,0324647;-0,038343618;-0,166242886;0,158417333
2013;-0,055181926;-0,042826556;0,528106922;0,053362797
2014;-0,091623566;-0,035391372;0,01930096;0,035475785
2015;-0,141954803;-0,158189575;-0,147428068;-0,130574274
2016;0,052263968;-0,045292721;-0,102717933;-0,131701718
2017;0,004637855;0,193806779;0,018980001;0,149705725
2018;0,02244401;0,09710598;-0,141316252;-0,035409721
2019;0,094237905;-0,022197769;-0,134574809;0,052136399
2020;-0,143782856;-0,046518856;-0,035825413;-0,118313001
2021;0,413240749;0,340763086;0,30430424;0,332639069
2022;0,147960561;0,184699013;-0,021402766;0,176225227
2023;-0,282037764;-0,01262719;-0,086499483;-0,290881098
